affiliation,postLink,researchLink,title,text
OpenAI_Research,https://openai.com/research/video-generation-models-as-world-simulators,,Video generation models as world simulators,"This technical report focuses on (1) our method for turning visual data of all types into a unified representation that enables large-scale training of generative models, and (2) qualitative evaluation of Sora’s capabilities and limitations. Model and implementation details are not included in this report.

Much prior work has studied generative modeling of video data using a variety of methods, including recurrent networks,[^1][^2][^3] generative adversarial networks,[^4][^5][^6][^7] autoregressive transformers,[^8][^9] and diffusion models.[^10][^11][^12] These works often focus on a narrow category of visual data, on shorter videos, or on videos of a fixed size. Sora is a generalist model of visual data—it can generate videos and images spanning diverse durations, aspect ratios and resolutions, up to a full minute of high definition video.

"
OpenAI_Research,https://openai.com/research/building-an-early-warning-system-for-llm-aided-biological-threat-creation,,Building an early warning system for LLM-aided biological threat creation,"Note: As part of our Preparedness Framework, we are investing in the development of improved evaluation methods for AI-enabled safety risks. We believe that these efforts would benefit from broader input, and that methods-sharing could also be of value to the AI risk research community. To this end, we are presenting some of our early work—today, focused on biological risk. We look forward to community feedback, and to sharing more of our ongoing research.





Background. As OpenAI and other model developers build more capable AI systems, the potential for both beneficial and harmful uses of AI will grow. One potentially harmful use, highlighted by researchers and policymakers, is the ability for AI systems to assist malicious actors in creating biological threats (e.g., see White House 2023, Lovelace 2022, Sandbrink 2023). In one discussed hypothetical example, a malicious actor might use a highly-capable model to develop a step-by-step protocol, troubleshoot wet-lab procedures, or even autonomously execute steps of the biothreat creation process when given access to tools like cloud labs (see Carter et al., 2023). However, assessing the viability of such hypothetical examples was limited by insufficient evaluations and data.

Following our recently shared Preparedness Framework, we are developing methodologies to empirically evaluate these types of risks, to help us understand both where we are today and where we might be in the future. Here, we detail a new evaluation which could help serve as one potential “tripwire” signaling the need for caution and further testing of biological misuse potential. This evaluation aims to measure whether models could meaningfully increase malicious actors’ access to dangerous information about biological threat creation, compared to the baseline of existing resources (i.e., the internet).

To evaluate this, we conducted a study with 100 human participants, comprising (a) 50 biology experts with PhDs and professional wet lab experience and (b) 50 student-level participants, with at least one university-level course in biology. Each group of participants was randomly assigned to either a control group, which only had access to the internet, or a treatment group, which had access to GPT-4 in addition to the internet. Each participant was then asked to complete a set of tasks covering aspects of the end-to-end process for biological threat creation.[^1] To our knowledge, this is the largest to-date human evaluation of AI’s impact on biorisk information.

Findings. Our study assessed uplifts in performance for participants with access to GPT-4 across five metrics (accuracy, completeness, innovation, time taken, and self-rated difficulty) and five stages in the biological threat creation process (ideation, acquisition, magnification, formulation, and release). We found mild uplifts in accuracy and completeness for those with access to the language model. Specifically, on a 10-point scale measuring accuracy of responses, we observed a mean score increase of 0.88 for experts and 0.25 for students compared to the internet-only baseline, and similar uplifts for completeness (0.82 for experts and 0.41 for students). However, the obtained effect sizes were not large enough to be statistically significant, and our study highlighted the need for more research around what performance thresholds indicate a meaningful increase in risk. Moreover, we note that information access alone is insufficient to create a biological threat, and that this evaluation does not test for success in the physical construction of the threats.

Below, we share our evaluation procedure and the results it yielded in more detail. We also discuss several methodological insights related to capability elicitation and security considerations needed to run this type of evaluation with frontier models at scale. We also discuss the limitations of statistical significance as an effective method of measuring model risk, and the importance of new research in assessing the meaningfulness of model evaluation results."
OpenAI_Research,https://openai.com/research/weak-to-strong-generalization,https://cdn.openai.com/papers/weak-to-strong-generalization.pdf,Weak-to-strong generalization,"We believe superintelligence—AI vastly smarter than humans—could be developed within the next ten years. However, we still do not know how to reliably steer and control superhuman AI systems. Solving this problem is essential for ensuring that even the most advanced AI systems in the future remain safe and beneficial to humanity.

We formed the Superalignment team earlier this year to solve this problem of superintelligence alignment. Today, we are releasing the team’s first paper, which introduces a new research direction for empirically aligning superhuman models.

Current alignment methods, such as reinforcement learning from human feedback (RLHF), rely on human supervision. However, future AI systems will be capable of extremely complex and creative behaviors that will make it hard for humans to reliably supervise them. For example, superhuman models may be able to write millions of lines of novel—and potentially dangerous—computer code that would be very hard even for expert humans to understand.

Relative to superhuman AI models, humans will be “weak supervisors.” This is a core challenge for AGI alignment: how can weak supervisors trust and control substantially stronger models?

"
OpenAI_Research,https://openai.com/research/practices-for-governing-agentic-ai-systems,https://cdn.openai.com/papers/practices-for-governing-agentic-ai-systems.pdf,Practices for Governing Agentic AI Systems,"Agentic AI systems—AI systems that can pursue complex goals with limited direct supervision—are likely to be broadly useful if we can integrate them responsibly into our society. While such systems have substantial potential to help people more efficiently and effectively achieve their own goals, they also create risks of harm. In this white paper, we suggest a definition of agentic AI systems and the parties in the agentic AI system life-cycle, and highlight the importance of agreeing on a set of baseline responsibilities and safety best practices for each of these parties. As our primary contribution, we offer an initial set of practices for keeping agents’ operations safe and accountable, which we hope can serve as building blocks in the development of agreed baseline best practices. We enumerate the questions and uncertainties around operationalizing each of these practices that must be addressed before such practices can be codified. We then highlight categories of indirect impacts from the wide-scale adoption of agentic AI systems, which are likely to necessitate additional governance frameworks.

"
OpenAI_Research,https://openai.com/research/dall-e-3-system-card,https://cdn.openai.com/papers/DALL_E_3_System_Card.pdf,DALL·E 3 system card,"DALL·E 3 is an artificial intelligence system that takes a text prompt as an input and generates a new image as an output. DALL·E 3 builds on DALL·E 2 by improving caption fidelity and image quality. In this system card, we share the work done to prepare DALL·E 3 for deployment, including our work on external expert red teaming, evaluations of key risks, and mitigations to reduce the risks posed by the model and reduce unwanted behaviors.

"
OpenAI_Research,https://openai.com/research/gpt-4v-system-card,https://cdn.openai.com/papers/GPTV_System_Card.pdf,GPT-4V(ision) system card,"GPT-4 with vision (GPT-4V) enables users to instruct GPT-4 to analyze image inputs provided by the user, and is the latest capability we are making broadly available. Incorporating additional modalities (such as image inputs) into large language models (LLMs) is viewed by some as a key frontier in artificial intelligence research and development. Multimodal LLMs offer the possibility of expanding the impact of language-only systems with novel interfaces and capabilities, enabling them to solve new tasks and provide novel experiences for their users. In this system card, we analyze the safety properties of GPT-4V. Our work on safety for GPT-4V builds on the work done for GPT-4 and here we dive deeper into the evaluations, preparation, and mitigation work done specifically for image inputs.

"
OpenAI_Research,https://openai.com/research/confidence-building-measures-for-artificial-intelligence,https://arxiv.org/abs/2308.00862,Confidence-Building Measures for Artificial Intelligence: Workshop proceedings,"Sarah Barrington (University of California, Berkeley)

Ruby Booth (Berkeley Risk and Security Lab)

Miles Brundage (OpenAI)

Husanjot Chahal (OpenAI)

Michael Depp (Center for a New American Security)

Bill Drexel (Center for a New American Security)

Ritwik Gupta (University of California, Berkeley)

Marina Favaro (Anthropic)

Jake Hecla (University of California, Berkeley)

Alan Hickey (OpenAI)

Margarita Konaev (Center for Security and Emerging Technology)

Kirthi Kumar (University of California, Berkeley)

Nathan Lambert (Hugging Face)

Andrew Lohn (Center for Security and Emerging Technology)

Cullen O'Keefe (OpenAI)

Nazneen Rajani (Hugging Face)

Michael Sellitto (Anthropic)

Robert Trager (Centre for the Governance of AI)

Leah Walker (University of California, Berkeley)

Alexa Wehsener (Institute for Security and Technology)

Jessica Young (Microsoft)





All authors provided substantive contributions to the paper through sharing their ideas as participants in the workshop, writing the paper, and/or editorial feedback and direction. The first two authors are listed in order of contribution, and the remaining authors are listed alphabetically. Some workshop participants have chosen to remain anonymous. The claims in this paper do not represent the views of any author’s organization. For questions about this paper, contact Sarah Shoker at sshoker@openai.com and Andrew Reddie at areddie@berkeley.edu.

*Significant contribution, including writing, providing detailed input for the paper, research, workshop organization, and setting the direction of the paper.

**Significant contribution, including providing detailed input for the paper, research, workshop organization, and setting the direction of the paper.

"
OpenAI_Research,https://openai.com/research/frontier-ai-regulation,https://arxiv.org/abs/2307.03718,Frontier AI regulation: Managing emerging risks to public safety,"Shahar Avin (Centre for the Study of Existential Risk, Univeristy of Cambridge)

Miles Brundage (OpenAI)

Justin Bullock (University of Washington; Convergence Analysis)

Duncan Cass-Beggs (Centre for International Governance Innovation)

Ben Chang (The Andrew W. Marshall Foundation)

Tantum Collins (GETTING-Plurality

Network, Edmond & Lily Safra Center for Ethics; Harvard University)

Tim Fist (Center for a New American Security)

Gillian Hadfield (University of Toronto; Vector Institute; OpenAI)

Alan Hayes (Akin Gump Strauss Hauer & Feld LLP)

Lewis Ho (Google DeepMind)

Sara Hooker (Cohere For AI)

Eric Horvitz (Microsoft)

Noam Kolt (University of Toronto)

Jonas Schuett (Centre for the Governance of AI)

Yonadav Shavit (Harvard University) ***

Divya Siddarth (Collective Intelligence Project)

Robert Trager (Centre for the Governance of AI; University of California: Los Angeles)

Kevin Wolf (Akin Gump Strauss Hauer & Feld LLP)





Listed authors contributed substantive ideas and/or work to the white paper. Contributions include writing, editing, research, detailed feedback, and participation in a workshop on a draft of the paper. Given the size of the group, inclusion as an author does not entail endorsement of all claims in the paper, nor does inclusion entail an endorsement on the part of any individual’s organization.

*Significant contribution, including writing, research, convening, and setting the direction of the paper.

**Significant contribution, including editing, convening, detailed input, and setting the direction of the paper.

***Work done while an independent contractor for OpenAI.

†Corresponding authors. Markus Anderljung (markus.anderljung@governance.ai) and Anton Korinek (akorinek@brookings.edu).

"
OpenAI_Research,https://openai.com/research/improving-mathematical-reasoning-with-process-supervision,https://arxiv.org/abs/2305.20050,Improving mathematical reasoning with process supervision,"1

I notice that the angle 100 degrees is not a special angle, so I will need to use some trigonometric identities to simplify this expression.

2

I recall that tan ⁡ θ = sin ⁡ θ cos ⁡ θ \tan \theta = \frac{\sin \theta}{\cos \theta} tan θ = c o s θ s i n θ ​ and sin ⁡ 2 θ = 2 sin ⁡ θ cos ⁡ θ . \sin 2\theta = 2 \sin \theta \cos \theta. sin 2 θ = 2 sin θ cos θ .

3

I can use these identities to rewrite the expression as sin ⁡ 10 0 ∘ cos ⁡ 10 0 ∘ + 4 sin ⁡ 10 0 ∘ . \frac{\sin 100^\circ}{\cos 100^\circ} + 4 \sin 100^\circ. c o s 10 0 ∘ s i n 10 0 ∘ ​ + 4 sin 10 0 ∘ .

4

I can combine the terms by finding a common denominator of cos ⁡ 10 0 ∘ . \cos 100^\circ. cos 10 0 ∘ .

5

I get sin ⁡ 10 0 ∘ + 4 sin ⁡ 10 0 ∘ cos ⁡ 10 0 ∘ cos ⁡ 10 0 ∘ . \frac{\sin 100^\circ + 4 \sin 100^\circ \cos 100^\circ}{\cos 100^\circ}. c o s 10 0 ∘ s i n 10 0 ∘ + 4 s i n 10 0 ∘ c o s 10 0 ∘ ​ .

6

I can simplify the numerator by using the double angle identity again, but in reverse.

7

I get sin ⁡ 10 0 ∘ + 2 sin ⁡ 20 0 ∘ cos ⁡ 10 0 ∘ . \frac{\sin 100^\circ + 2 \sin 200^\circ}{\cos 100^\circ}. c o s 10 0 ∘ s i n 10 0 ∘ + 2 s i n 20 0 ∘ ​ .

8

I notice that 200 degrees is the same as 180 degrees plus 20 degrees, so I can use the sum angle identity for sine.

9

I get sin ⁡ 10 0 ∘ + 2 ( sin ⁡ 18 0 ∘ cos ⁡ 2 0 ∘ + cos ⁡ 18 0 ∘ sin ⁡ 2 0 ∘ ) cos ⁡ 10 0 ∘ . \frac{\sin 100^\circ + 2 (\sin 180^\circ \cos 20^\circ + \cos 180^\circ \sin 20^\circ)}{\cos 100^\circ}. c o s 10 0 ∘ s i n 10 0 ∘ + 2 ( s i n 18 0 ∘ c o s 2 0 ∘ + c o s 18 0 ∘ s i n 2 0 ∘ ) ​ .

10

I recall that sin ⁡ 18 0 ∘ = 0 \sin 180^\circ = 0 sin 18 0 ∘ = 0 and cos ⁡ 18 0 ∘ = − 1 , \cos 180^\circ = -1, cos 18 0 ∘ = − 1 , so I can simplify further.

11

I get sin ⁡ 10 0 ∘ − 2 sin ⁡ 2 0 ∘ cos ⁡ 10 0 ∘ . \frac{\sin 100^\circ - 2 \sin 20^\circ}{\cos 100^\circ}. c o s 10 0 ∘ s i n 10 0 ∘ − 2 s i n 2 0 ∘ ​ .

12

I notice that 100 degrees is the same as 90 degrees plus 10 degrees, so I can use the sum angle identity for sine and cosine.

13

I get ( sin ⁡ 9 0 ∘ cos ⁡ 1 0 ∘ + cos ⁡ 9 0 ∘ sin ⁡ 1 0 ∘ ) − 2 sin ⁡ 2 0 ∘ ( cos ⁡ 9 0 ∘ cos ⁡ 1 0 ∘ − sin ⁡ 9 0 ∘ sin ⁡ 1 0 ∘ ) . \frac{(\sin 90^\circ \cos 10^\circ + \cos 90^\circ \sin 10^\circ) - 2 \sin 20^\circ}{(\cos 90^\circ \cos 10^\circ - \sin 90^\circ \sin 10^\circ)}. ( c o s 9 0 ∘ c o s 1 0 ∘ − s i n 9 0 ∘ s i n 1 0 ∘ ) ( s i n 9 0 ∘ c o s 1 0 ∘ + c o s 9 0 ∘ s i n 1 0 ∘ ) − 2 s i n 2 0 ∘ ​ .

14

I recall that sin ⁡ 9 0 ∘ = 1 \sin 90^\circ = 1 sin 9 0 ∘ = 1 and cos ⁡ 9 0 ∘ = 0 , \cos 90^\circ = 0, cos 9 0 ∘ = 0 , so I can simplify further.

15

I get cos ⁡ 1 0 ∘ − 2 sin ⁡ 2 0 ∘ − sin ⁡ 1 0 ∘ . \frac{\cos 10^\circ - 2 \sin 20^\circ}{-\sin 10^\circ}. − s i n 1 0 ∘ c o s 1 0 ∘ − 2 s i n 2 0 ∘ ​ .

16

I can simplify the sign by multiplying the numerator and denominator by -1.

17

I get 2 sin ⁡ 2 0 ∘ − cos ⁡ 1 0 ∘ sin ⁡ 1 0 ∘ . \frac{2 \sin 20^\circ - \cos 10^\circ}{\sin 10^\circ}. s i n 1 0 ∘ 2 s i n 2 0 ∘ − c o s 1 0 ∘ ​ .

18

I notice that 20 degrees is the same as 30 degrees minus 10 degrees, so I can use the difference angle identity for sine.

19

I get 2 ( sin ⁡ 3 0 ∘ cos ⁡ 1 0 ∘ − cos ⁡ 3 0 ∘ sin ⁡ 1 0 ∘ ) − cos ⁡ 1 0 ∘ sin ⁡ 1 0 ∘ . \frac{2 (\sin 30^\circ \cos 10^\circ - \cos 30^\circ \sin 10^\circ) - \cos 10^\circ}{\sin 10^\circ}. s i n 1 0 ∘ 2 ( s i n 3 0 ∘ c o s 1 0 ∘ − c o s 3 0 ∘ s i n 1 0 ∘ ) − c o s 1 0 ∘ ​ .

20

I recall that sin ⁡ 3 0 ∘ = 1 2 \sin 30^\circ = \frac{1}{2} sin 3 0 ∘ = 2 1 ​ and cos ⁡ 3 0 ∘ = 3 2 , \cos 30^\circ = \frac{\sqrt{3}}{2}, cos 3 0 ∘ = 2 3 ​ ​ , so I can simplify further.

21

I get cos ⁡ 1 0 ∘ − 3 sin ⁡ 1 0 ∘ − cos ⁡ 1 0 ∘ sin ⁡ 1 0 ∘ . \frac{\cos 10^\circ - \sqrt{3} \sin 10^\circ - \cos 10^\circ}{\sin 10^\circ}. s i n 1 0 ∘ c o s 1 0 ∘ − 3 ​ s i n 1 0 ∘ − c o s 1 0 ∘ ​ .

22

I can cancel out the cos ⁡ 1 0 ∘ \cos 10^\circ cos 1 0 ∘ terms in the numerator.

23

I get − 3 sin ⁡ 1 0 ∘ sin ⁡ 1 0 ∘ . \frac{-\sqrt{3} \sin 10^\circ}{\sin 10^\circ}. s i n 1 0 ∘ − 3 ​ s i n 1 0 ∘ ​ .

24

I can cancel out the sin ⁡ 1 0 ∘ \sin 10^\circ sin 1 0 ∘ terms in the numerator and denominator.

25

I get − 3 . -\sqrt{3}. − 3 ​ .

26"
OpenAI_Research,https://openai.com/research/language-models-can-explain-neurons-in-language-models,https://openaipublic.blob.core.windows.net/neuron-explainer/paper/index.html,Language models can explain neurons in language models,"Language models have become more capable and more broadly deployed, but our understanding of how they work internally is still very limited. For example, it might be difficult to detect from their outputs whether they use biased heuristics or engage in deception. Interpretability research aims to uncover additional information by looking inside the model.

One simple approach to interpretability research is to first understand what the individual components (neurons and attention heads) are doing. This has traditionally required humans to manually inspect neurons to figure out what features of the data they represent. This process doesn’t scale well: it’s hard to apply it to neural networks with tens or hundreds of billions of parameters. We propose an automated process that uses GPT-4 to produce and score natural language explanations of neuron behavior and apply it to neurons in another language model.

This work is part of the third pillar of our approach to alignment research: we want to automate the alignment research work itself. A promising aspect of this approach is that it scales with the pace of AI development. As future models become increasingly intelligent and helpful as assistants, we will find better explanations.

"
